
CCTV1,rtp://238.1.78.166:7200
CCTV2,rtp://238.1.78.235:7752
CCTV3,rtp://238.1.78.170:7232
CCTV4,rtp://238.1.78.236:7760
CCTV5,rtp://238.1.78.171:7240
CCTV6,rtp://238.1.78.172:7248
CCTV7,rtp://238.1.78.239:7784
CCTV8,rtp://238.1.78.173:7256
CCTV9,rtp://238.1.78.240:7792
CCTV10,rtp://238.1.78.241:7800
CCTV11,rtp://238.1.78.206:7502
CCTV12,rtp://238.1.78.242:7808
CCTV13,rtp://238.1.79.35:4392
CCTV14,rtp://238.1.78.243:7816
CCTV15,rtp://238.1.78.222:7648
CCTV17,rtp://238.1.78.178:7296
CCTV5+,rtp://238.1.78.237:7768
电视指南,rtp://238.1.79.53:4560
兵器科技,rtp://238.1.79.56:4584
第一剧场,rtp://238.1.79.63:4640
风云剧场,rtp://238.1.79.62:4632
风云音乐,rtp://238.1.79.64:4648
风云足球,rtp://238.1.79.57:4592
高尔夫网球,rtp://238.1.79.58:4600
怀旧剧场,rtp://238.1.79.61:4624
女性时尚,rtp://238.1.79.55:4576
世界地理,rtp://238.1.79.60:4616
央视台球,rtp://238.1.79.59:4608
央视文化精品,rtp://238.1.79.54:4568
CGTN,rtp://238.1.78.50:6272
安徽卫视,rtp://238.1.79.27:4328
北京卫视,rtp://238.1.78.162:7168
东方卫视,rtp://238.1.78.163:7176
东南卫视,rtp://238.1.78.22:6104
甘肃卫视,rtp://238.1.79.36:4400
广东卫视,rtp://238.1.78.161:7160
深圳卫视,rtp://238.1.78.156:7120
广西卫视,rtp://238.1.78.70:6432
贵州卫视,rtp://238.1.78.244:7824
海南卫视,rtp://238.1.79.49:4504
河北卫视,rtp://238.1.78.245:7832
河南卫视,rtp://238.1.79.65:4632
黑龙江卫视,rtp://238.1.78.159:7144
湖北卫视,rtp://238.1.78.168:7216
湖南卫视,rtp://238.1.78.160:7152
吉林卫视,rtp://238.1.79.48:4496
江苏卫视,rtp://238.1.78.165:7192
江西卫视,rtp://238.1.78.26:6136
辽宁卫视,rtp://238.1.78.21:6096
内蒙古卫视,rtp://238.1.78.103:6696
宁夏卫视,rtp://238.1.79.4:4144
青海卫视,rtp://238.1.78.102:6688
三沙卫视,rtp://238.1.78.27:6144
厦门卫视,rtp://238.1.78.246:7840
山东卫视,rtp://238.1.78.169:7224
山西卫视,rtp://238.1.78.95:6632
陕西卫视,rtp://238.1.78.88:6576
四川卫视,rtp://238.1.78.30:6168
天津卫视,rtp://238.1.78.20:6088
西藏卫视,rtp://238.1.79.1:4120
新疆卫视,rtp://238.1.79.2:4128
兵团卫视,rtp://238.1.79.3:4136
云南卫视,rtp://238.1.78.89:6584
浙江卫视,rtp://238.1.78.164:7184
重庆卫视,rtp://238.1.78.31:6176
安徽公共,rtp://238.1.79.43:4456
安徽经济生活,rtp://238.1.79.44:4464
安徽影视,rtp://238.1.79.42:4448
安徽农业科教,rtp://238.1.79.40:4432
安徽综艺体育,rtp://238.1.79.41:4440
CHC影迷电影,rtp://238.1.79.17:4248
CHC动作电影,rtp://238.1.79.18:4256
CHC家庭影院,rtp://238.1.79.22:4288
都市剧场,rtp://238.1.78.74:6464
乐游,rtp://238.1.78.151:7080
动漫秀场,rtp://238.1.78.154:7104
金鹰纪实,rtp://238.1.79.9:4184
茶频道,rtp://238.1.79.30:4352
快乐垂钓,rtp://238.1.79.31:4360
生活时尚,rtp://238.1.78.155:7112
财富天下,rtp://238.1.78.25:6128
东方财经,rtp://238.1.78.73:6456
金色学堂,rtp://238.1.78.76:6480
游戏风云,rtp://238.1.78.81:6520
法治天地,rtp://238.1.78.84:6544
梨园,rtp://238.1.79.10:4192
文物宝库,rtp://238.1.79.16:4240
武术世界,rtp://238.1.79.8:4176
中国教育1台,rtp://238.1.78.158:7136
中国教育2台,rtp://238.1.78.106:6720
中国教育4台,rtp://238.1.78.107:6728
卡酷少儿,rtp://238.1.78.97:6648
哈哈炫动,rtp://238.1.78.82:6528
金鹰卡通,rtp://238.1.78.100:6672
七彩戏剧,rtp://238.1.78.85:6552
东方卫视4K,rtp://238.1.79.39:4428
东至综合频道,rtp://238.1.79.13:4216
中甲联赛,rtp://238.1.79.39:4424
临泉新闻频道,rtp://238.1.78.29:6160
义安新闻综合,rtp://238.1.78.211:7560
五河新闻综合,rtp://238.1.79.52:4528
亳州农村频道,rtp://238.1.78.129:6904
亳州综合频道,rtp://238.1.78.128:6896
休宁新闻综合,rtp://238.1.79.20:4272
体育赛事,rtp://238.1.78.33:6192
全椒综合频道,rtp://238.1.78.203:7496
六安公共频道,rtp://238.1.78.145:7032
六安综合频道,rtp://238.1.78.144:7024
兵团卫视,rtp://238.1.78.104:6704
凤阳新闻频道,rtp://238.1.78.207:7528
利辛新闻综合,rtp://238.1.78.196:7440
北京卫视4K,rtp://238.1.79.24:4304
南陵新闻综合,rtp://238.1.78.189:7384
合肥新闻频道,rtp://238.1.78.111:6760
四川卫视4K,rtp://238.1.79.51:4520
固镇新闻综合,rtp://238.1.79.47:4488
太平电视台,rtp://238.1.78.199:7464
太湖新闻综合,rtp://238.1.79.12:4208
宁国新闻综合,rtp://238.1.78.216:7600
宁夏卫视,rtp://238.1.78.109:6744
安庆公共频道,rtp://238.1.78.118:6816
安庆教育频道,rtp://238.1.78.120:6832
安庆新闻综合,rtp://238.1.78.117:6808
安徽人物频道,rtp://238.1.79.45:4472
安徽卫视,rtp://238.1.78.150:7072
安徽国际频道,rtp://238.1.78.61:6360
安徽导视频道,rtp://238.1.79.66:4664
定远新闻综合,rtp://238.1.78.205:7512
宣城公共频道,rtp://238.1.78.143:7016
宣城综合频道,rtp://238.1.78.142:7008
家家购物,rtp://238.1.78.32:6184
宿州公共频道,rtp://238.1.78.122:6848
宿州新闻综合,rtp://238.1.78.121:6840
宿州科教频道,rtp://238.1.78.123:6856
寿县新闻综合,rtp://238.1.78.146:7040
山东卫视4K,rtp://238.1.79.29:4344
山东教育卫视,rtp://238.1.78.254:7904
广东卫视4K,rtp://238.1.79.25:4312
广德新闻综合,rtp://238.1.78.212:7568
广德生活频道,rtp://238.1.78.213:7576
徽州新闻频道,rtp://238.1.78.138:6976
新疆卫视,rtp://238.1.78.110:6752
旌德新闻综合,rtp://238.1.78.215:7592
无为新闻频道,rtp://238.1.78.188:7376
明光综合频道,rtp://238.1.78.208:7536
来安新闻综合,rtp://238.1.78.204:7504
枞阳电视台,rtp://238.1.78.210:7552
桐城综合频道,rtp://238.1.78.28:6152
歙县综合频道,rtp://238.1.78.200:7472
江苏卫视4K,rtp://238.1.78.37:4088
池州公共频道,rtp://238.1.78.148:7056
池州新闻综合,rtp://238.1.78.147:7048
泗县新闻频道,rtp://238.1.78.193:7416
浙江卫视4K,rtp://238.1.79.28:4336
海豚健康,rtp://238.1.79.33:4376
海豚少儿,rtp://238.1.79.32:4368
海豚影视,rtp://238.1.79.34:4384
海豚生活,rtp://238.1.79.50:4512
涡阳新闻综合,rtp://238.1.78.197:7448
淮北公共频道,rtp://238.1.78.136:6960
淮北教育频道,rtp://238.1.78.137:6968
淮北新闻综合,rtp://238.1.78.135:6952
淮南公共频道,rtp://238.1.78.114:6784
淮南新闻综合,rtp://238.1.78.113:6776
深圳卫视4K,rtp://238.1.79.26:4320
湖南卫视4K,rtp://238.1.79.38:4416
湾沚新闻综合,rtp://238.1.78.187:7368
滁州公共频道,rtp://238.1.78.133:6936
滁州新闻综合,rtp://238.1.78.132:6928
